qr_code_id	school_name	missed_count
1798	通渭县第二中学	341
1707	榆中县一悟小学	291
1806	通渭县姜滩小学	266
300	长征小学	254
553	庄浪县实验小学	231
3241	岷县岷阳镇第一中心小学	224
2085	古浪县第五中学	167
239	临洮县南街小学	136
1330	天水市田家炳中学（中学）	128
2829	平凉市铁路中学	123
2827	平凉市第四中学	120
447	泾川县第一中学	117
308	泾川县第三小学	92
779	灵台县城关中学	88
1313	天水市伏羲路逸夫小学	87
1451	崇信县第二中学	86
2815	酒泉市东关街第一小学	80
508	庄浪县第三小学	64
2935	天祝藏族自治县城关小学	64
848	静宁县阿阳实验学校	63
3299	夏河县曲奥乡中心小学	54
3454	天水市第一中学秦州分校	53
2770	宁县焦村初级中学	52
215	临洮县椒山初级中学	45
2754	宁县焦村镇中心小学	45
209	太石学区	43
2673	静宁县城关初级中学	42
2842	平凉市崆峒区西郊小学	42
2933	天祝藏族自治县民族中学	41
306	泾川县东街小学	35
2672	静宁县第三中学	34
2841	平凉市崆峒区铁路小学	34
1158	庆阳市西峰区黄官寨实验学校	33
3301	夏河县王格尔塘九年制学校	32
450	泾川县第三中学	31
764	玉门市第三中学	31
1803	通渭县文庙街小学	31
253	临洮县第四实验小学	30
770	玉门市第一中学	30
305	兴平小学	29
1977	永靖县三峡中学	28
431	泾川县第二中学	24
3146	高台县第一中学	24
1554	徽县城关小学	23
2670	静宁县文萃中学	23
296	靖煤小学	22
371	泾川县荔堡镇中心小学	21
3525	礼县北城小学	21
1733	榆中县连搭学区	20
2089	古浪县泗水镇教育工作站	20
2802	酒泉市第一中学	20
845	景泰县第四中学	18
2831	平凉市拂晓小学	17
437	泾川县丰台镇中学	16
1082	漳县武阳东街小学	16
2791	酒泉市东苑学校	16
2832	平凉市崆峒区广成学校	16
3531	礼县第五中学	16
168	景泰县第一小学	14
718	庄浪县南湖中学	13
846	景泰县第三中学	13
1338	天水市建设路第二小学南校区	13
1705	榆中县崇文实验学校	13
2370	崇信县城区第二小学	13
169	民勤实验中学	12
842	景泰县第四小学	12
1654	马力学区	12
2090	古浪县大靖镇教育工作站	12
2410	庄浪县第四中学	12
3135	高台县第四中学	12
1704	榆中县朝阳学校	11
2091	古浪县民权乡教育工作站	11
2407	庄浪县第一中学	11
2833	平凉市崆峒区黄家园小学	11
2843	平凉市崆峒区西大街小学	11
320	泾川县城关镇学区	10
814	灵台县东关小学	10
844	景泰县第二小学	10
1308	金昌市第七中学	10
772	灵台县荆山学校	9
1084	漳县武阳中学	9
1374	庆城县庆城中学	9
1732	榆中县定远学区	9
1976	永靖县刘家峡中学	9
1022	镇原县兴华初级中学	8
1293	金昌市第二小学	8
1661	龙泉学区	8
2867	平凉市崆峒区实验小学	8
2929	天祝藏族自治县第一中学	8
199	民勤县第六中学	7
432	泾川县党原镇合道初级中学	7
843	景泰县实验小学	7
1487	崇信县第一中学	7
1804	通渭县西关小学	7
1831	莲湖小学	7
2681	静宁县东关小学	7
2820	酒泉第八中学	7
2853	平凉市崆峒区草峰镇学区	7
2872	华池县实验小学	7
2934	天祝藏族自治县实验学校	7
2936	天祝藏族自治县城关第二小学	7
2995	华亭市皇甫学校（小学部）	7
178	民勤县第五中学	6
744	庄浪县思源实验学校	6
746	庄浪县北辰学校	6
1799	通渭县第三中学	6
2713	静宁县成纪中学	6
2723	静宁县八里镇学区	6
2862	平凉市崆峒区峡门回族乡学区	6
2897	临潭县第二中学	6
395	礼县白河镇初级中学	5
398	礼县实验中学	5
1083	漳县武阳西街小学	5
1172	庆阳市西峰区南街小学	5
1202	西峰区董志镇周岭小学	5
1491	徽县实验小学	5
2699	静宁县威戎中学	5
2798	酒泉第七中学	5
2932	天祝藏族自治县新华中学	5
2977	瓜州县渊泉小学	5
2996	华亭市皇甫学校（初中部）	5
3206	康县城关二小	5
241	临洮县洮阳镇西街小学	4
716	庄浪县第三中学	4
749	庄浪县新星学校	4
1204	庆阳第四中学	4
1278	白银市第十中学	4
1683	武山县温泉学区	4
1827	通渭县温泉路学校	4
1841	东江初中	4
1881	武都深圳中学	4
2098	古浪县土门镇教育工作站	4
2408	庄浪县紫荆中学	4
2846	平凉市崆峒区玄鹤小学	4
2850	平凉市崆峒区四十里铺镇学区	4
2931	天祝藏族自治县第二中学	4
3243	岷县岷阳镇东关小学	4
237	临洮县第二实验小学	3
301	平川区第二中学	3
310	白银市第五中学	3
527	庄浪县南湖小学	3
813	玉门市第三中学小学部	3
948	定西市临洮县第三中学	3
949	定西市临洮县第四中学	3
1542	舟曲县峰迭新区小学	3
1547	舟曲县初级中学	3
1717	榆中县职教中心	3
2100	古浪县横梁镇教育工作站	3
2245	临夏市第一中学	3
2411	庄浪县第二中学	3
2792	酒泉市北关小学	3
2800	酒泉第四中学	3
2830	平凉市实验小学	3
2838	平凉市崆峒区新河湾小学	3
2844	平凉市崆峒区红旗街小学	3
3015	华亭市西郊小学	3
